Gun,Chip,Bib,City,State,Age,Gender
4039,4039,9,Kyle,TX,29,M
4041,4041,6,Oklahoma City,OK,26,M
4081,4080,5763,Monterrey,NONUS,28,M
4094,4094,4,Austin,TX,36,M
4136,4135,5,Austin,TX,30,M
4226,4225,6504,Dallas,TX,27,M
4267,4267,6957,Austin,TX,23,M
4315,4315,13,Austin,TX,41,M
4356,4356,7336,Platte City,MO,32,M
4428,4428,7,Louisville,CO,45,M
4438,4430,7530,Pflugerville,TX,43,M
4433,4430,4032,Wimberley,TX,34,M
4455,4454,5021,Austin,TX,32,M
4459,4458,3937,Bloomington,IL,48,M
4463,4463,2,Austin,TX,26,F
4493,4491,2847,Austin,TX,28,M
4525,4523,6115,St Paul,MN,35,M
4546,4544,5113,New York,NY,31,M
4555,4553,6880,Greenvile,SC,35,M
4556,4556,6231,Pflugerville,TX,40,M
4561,4560,6189,Austin,TX,25,M
4581,4568,1012,Austin,TX,17,M
4579,4578,470,Austin,TX,42,M
4592,4591,7320,Austin,TX,31,M
4599,4598,6210,Austin,TX,29,M
4600,4599,7113,Austin,TX,31,M
4619,4617,5212,Austin,TX,42,M
4647,4646,3049,Austin,TX,33,M
4650,4649,795,Austin,TX,33,M
4655,4652,4919,Austin,TX,29,M
4663,4660,6208,Denton,TX,19,M
4702,4696,5520,Round Rock,TX,15,M
4697,4697,10,San Marcos,TX,26,M
4712,4704,727,San Angelo,TX,28,M
4711,4704,6021,Worthington,OH,37,M
4710,4707,6555,San Antonio,TX,44,M
4713,4710,2646,Austin,TX,36,M
4715,4714,5213,Austin,TX,32,M
4724,4722,4657,San Antonio,TX,54,M
4732,4723,7567,Round Rock,TX,17,M
4734,4728,486,Austin,TX,28,M
4746,4740,5217,Kerrville,TX,34,F
4755,4751,3954,San Antonio,TX,30,M
4758,4756,5088,Harlingen,TX,30,M
4757,4756,7262,Ypsilanti,MI,31,F
4761,4760,7100,Niwot,CO,42,M
4763,4763,8,Beavercreek,VA,36,F
4772,4770,475,Austin,TX,39,M
4789,4780,7413,Austin,TX,45,M
4798,4790,3788,Pflugerville,TX,30,M
5001,4792,7285,San Antonio,TX,26,M
4926,4797,6510,Austin,TX,20,M
4804,4803,4590,Garland,TX,45,M
4817,4812,7706,Austin,TX,27,M
4822,4820,7442,Corpus Christi,TX,41,M
4829,4824,477,Austin,TX,33,M
4830,4827,5627,New York City,NY,28,F
4834,4831,1494,Austin,TX,37,M
4839,4837,728,Austin,TX,48,M
4842,4838,3019,Round Rock,TX,36,M
4851,4838,1043,Round Rock,TX,17,M
4859,4844,6365,Round Rock,TX,47,M
4848,4845,1164,Austin,TX,28,M
4853,4847,6584,Cincinnati,OH,32,F
4856,4848,2300,San Antonio,TX,26,M
4862,4858,4006,Austin,TX,24,M
4868,4859,3006,Austin,TX,34,M
4876,4869,7728,Cedar Park,TX,18,M
4904,4881,3949,Austin,TX,16,M
4890,4888,5731,Flower Mound,TX,45,M
4897,4894,7677,Alexandria,VA,35,M
4898,4896,6285,West Lake Hills,TX,34,M
4919,4916,7662,Austin,TX,43,M
4931,4917,4839,Austin,TX,28,F
4926,4920,7651,Austin,TX,20,M
4941,4927,7307,Austin,TX,28,M
4966,4930,5581,Durham,NC,34,M
4931,4930,2610,Austin,TX,32,M
4935,4932,3894,Austin,TX,27,M
4941,4935,4370,Wimberley,TX,23,F
4974,4942,6662,Austin,TX,34,M
4957,4951,6625,San Antonio,TX,55,M
4961,4956,6349,Toledo,OH,34,M
4979,4960,462,Austin,TX,54,M
4972,4963,4119,Austin,TX,26,M
4977,4970,6498,San Antonio,TX,23,M
4978,4971,3111,Austin,TX,23,M
4982,4981,6805,Dallas,TX,48,M
4986,4982,7155,Austin,TX,39,M
5000,4994,4827,Austin,TX,25,M
5013,5003,7073,Austin,TX,54,M
5009,5003,5978,Austin,TX,27,F
5008,5004,6813,Round Rock,TX,41,M
